id,name,price,units_sold,clicks,impressions,category,description,stock,image,sub_category,conversion_rate,rating,total_rating,rating_count,discounted_price,offer,brand
11,Prestige Omega Select Plus 27.5cm Non-Stick Omni Tawa |Induction Base |Gas & Induction Compatible| Metal Spoon Friendly | Sturdy Handles,819.0,0,3,0,Kitchen Appliances,"Cook with ease using the **Prestige Omega Select Plus 27.5cm Non-Stick Twa**, designed for versatile Indian cooking. Featuring **3-layer metal spoon-friendly non-stick coating**, this tawa resists scratches and ensures easy foot food release, perfect for dosas, parathas, and pancakes. The **induction-compatible base** works seamlessly on gas stoves and induction cooktops, delivering even heat distribution. Crafted from **high-grade aluminium**, it’s lightweight (800g) yet durable. The **study**, **heat-resistant handles** provide a comfortable grip for safe handling with **PFOA-free coating**, it promotes healthy, oil-free cooking. Easy to clean and dishwasher-safe**, this tawa is available in stock, making it an essential addition to modern kitchens for everyday culinary needs.",available,Screenshot_2025-06-04_222037.png,non stick,0.0,1.0,0,0,606.06,26,Unknown
12,"Milton Ernesto Inner Stainless Steel Jr. Casserole Set of 3 (420 ml, 850 ml, 1.43 litres), Grey | Easy to Carry | Serving | Stackable",999.0,0,2,0,Kitchen Appliances,"Keep your meal deals hot or cold fresh with the **Milton Ernesto Inner Steel Stainless Steel Casserole Set** (Grey, 420ml, 850ml, 1.43L). Crafted with **double-walled insulation** and **inner stainless steel lining**, these casseroles retain heat for up to 4 hours, ideal for serving hot curries, rice or or desserts. The **stackable**, **space-saving design** and **easy-grip lids** ensure portability for picnics, potlucks, or office lunches. Lightweight **(1.2kg total**) and leak-resistant proof, they’re easy to clean and dishwasher-safe. The sleek grey finish adds elegance to your dining setup for. For serving, this set is perfect for gifting combining functionality with style for everyday use.",available,Screenshot_2025-06-04_100719.png,Casserole,0.0,1.0,0,0,789.21,21,Unknown
13,	Samsung Galaxy M06 5G ,12345.0,0,6,0,Electronics,The Samsung Galaxy M06 5G ,available,Screenshot_2025-06-04_100121.png,mobail / phone,0.0,1.0,0,0,11357.4,8,Samsung 
14,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",78449.0,0,13,0,Electronics,"The iPhone 16 128GB in Teal is a premium 5G smartphone for performance-driven users. Powered by the A18 chip (6-core CPU, 5-core GPU), it delivers 30% faster performance for gaming, editing, and Apple Intelligence. The 6.1"" Super Retina XDR display (60Hz, 2000 nits) ensures vibrant visuals with Ceramic Shield protection. Its 48MP Fusion + 12MP Ultra Wide camera with Camera Control captures pro-level photos and 4K 60fps Dolby Vision videos, enhanced by an 8MP selfie camera. Running iOS 18, it offers long-term updates and robust privacy. The 3561mAh battery supports 25W wired and 15W MagSafe charging, lasting up to 22 hours (charger not included). With 128GB storage, 5G, Wi-Fi 6E, and a 170g, IP68-rated design, it integrates with AirPods. Ideal for creators and Apple ecosystem users, it excels in photography and premium tasks, though 128GB may limit heavy users.",available,Screenshot_2025-06-04_100339.png,mobail / phone,0.0,1.0,0,0,68250.63,13,Apple
15,ACCOX Men's Breathable Cotton Half Sleeves Regular Fit Checkered Formal Shirt for Men (O_GCR168),599.0,2,23,0,Fashion,"Upgrade your wardrobe with the **ACCOX Men's Breathable Cotton Checkered Formal Shirt** (O_GCR168). Crafted from **100% breathable cotton**, this half-sleeve shirt features a **regular fit** for all-day comfort, ideal for office, meetings, or casual outings. The **checkered pattern** adds a timeless, professional touch, available in sizes M (38) to 3XL (46). Weighing **200g**, it’s lightweight and easy to maintain with machine washing (cold, dark colors separately). The shirt includes a **classic collar** and **button-down front**, ensuring a sharp look. Pair it with trousers or chinos for versatile styling. Available in stock, this shirt is a must-have for men seeking style, comfort, and durability in their formal attire.",available,Screenshot_2025-06-04_094619.png,shirt,9.09,1.0,0,0,449.25,25,Unknown
16,"HP Victus,13th Gen IntelCore i5-13420H, 6GB RTX 4050 Gaming Laptop (16GB DDR4,512GB SSD) (fa1279tx) IPS, 15.6""/39.6cm, Flicker-Free,Win 11,Office 21, Mica Silver, 2.29kg, EnhancedCooling,fa1319TX",76490.0,3,20,26208,Electronics,"Dominate the gaming arena with the **ThunderCore Gaming Laptop**, engineered for budget-conscious gamers. Powered by an **AMD Ryzen 5 4600H** (6 cores, 12 threads, up to 4.0GHz), **16GB DDR4 RAM**, and a **512GB NVMe SSD**, it ensures smooth performance for titles like Valorant or Cyberpunk 2077. The **NVIDIA GTX 1650 4GB GDDR6** graphics drive a **15.6"" FHD (1920x1080) IPS display** with a **120Hz refresh rate** for fluid visuals. With **RGB backlit keyboard** and **dual-fan cooling**, it stays cool during intense sessions. Connectivity includes **Wi-Fi 6**, **Bluetooth 5.0**, and ports like USB-C, HDMI, and Ethernet. Pre-installed with **Windows 11 Home**, this 2.3kg laptop is not available but can be pre-ordered. Ideal for casual gamers and students, it offers power and portability at an unbeatable price.",available,Screenshot_2025-06-18_193817.png,Laptops,15.0,4.0,8,2,68841.0,10,Hp 
18,Whirlpool 6.5 Kg 5 Star StainWash Royal Plus Fully Automatic Top Load Washing Machine (SW ROYAL PLUS 6.5 (H) GREY 10YMW with In-Built Heater),12225.0,0,3,24698,Home Appliances,"Simplify laundry with the **EcoSpin 8kg Washing Machine**, designed for small to medium households. With an **8kg capacity**, it handles family-sized loads efficiently. Featuring **10 wash programs** (including cotton, delicate, and quick wash), it caters to all fabric types. The **800 RPM spin speed** ensures effective water extraction, reducing drying time. Equipped with a **digital display**, **child lock**, and **delay start**, it offers user-friendly operation. The **stainless steel drum** (55L) resists rust, while **energy-efficient technology** saves water and power (A++ rating). Weighing **60kg** and measuring **85 x 60 x 55 cm**, it’s compact yet robust. Not available but pre-orderable, this machine is ideal for eco-conscious families seeking reliability and convenience.",available,Screenshot_2025-06-18_194027.png,Washing Machines,0.0,1.0,0,0,10146.75,17,Unknown
19,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",799.0,0,9,17420,Electronics,"Up to 50 hours of Playback: Stay entertained non-stop with up to 50 hours of massive playtime. Pop in boAt Airdopes 311 Pro TWS Earbuds and make commutes fun with your favorite tunes for company.
ENx Technology: ENx-powered dual mics in these earbuds make attending calls in public spaces a breeze. Speak and listen from busy roads, airport lounges, cafés, and more without pesky background sounds.
ASAP Charging: Charge for just 10 minutes and hit play on entertainment for 150 minutes. Finish the latest OTT releases or relive your old favorites with swift charging
boAt Signature Sound: Delve into the content with boAt Signature Sound. Featuring powerful 10 mm drivers, you can experience sound the way it was intended with Airdopes 311 Pro!
BEAST Mode: Raise adrenaline levels with boAtâ€s gaming BEAST mode. The 50 ms low latency lets you game lag-free to your heartâ€s content!",available,Screenshot_2025-06-19_174318.png,Wireless Earbuds,0.0,1.0,0,0,607.24,24,Boat
20,boffi... Bee-Fits Men's 100% Cotton Shorts Sporty Trendy Regular Daily Use Shorts,397.0,0,0,25975,Fashion,"Care Instructions: Machine Wash
Fit Type: Regular Fit
Wearable for Casual, evenging and regular uses has 2 side pocket with one side safe lockable zip.
This shorts keeps you looking stylish without compromising on wearability
Occasion: Yoga & Gym I Sports Wear I Running Shorts I Sleep Wear I Night Wear I Jogging Shorts",available,Screenshot_2025-06-19_175146.png,Bottomwear,0.0,1.0,0,0,301.72,24,Unknown
21,"Boldfit Shorts for Men & Boys Quick Dry Mens Shorts for Workout, Training Gym Shorts for Men Regular Fit Men Shorts Lightweight Sports Shorts for Men Outdoor Athletic Bermuda Shorts for Men",499.0,0,1,22457,Fashion,"COMFORTABLE & BREATHABLE: Boldfit Gym Shorts are designed for maximum comfort with breathable fabric that keeps you cool and dry. Ideal for intense workouts or casual wear, these dri fit shorts for men ensure you stay comfortable and focused during any activity. The ergonomic fit and flexible material adapt to your movements, providing unrestricted mobility. Upgrade your fitness gear with Boldfit short pants for men and enjoy the perfect blend of comfort, durability, and style.
QUICK-DRY FABRIC: Featuring advanced quick-dry technology, these polyester shorts for men wick away sweat and moisture, allowing you to stay dry and comfortable throughout your workout. Perfect for running, training, or any high-intensity exercise, keeping you at your best. The fabric's quick-drying properties make it easy to wash and wear again in no time. Shorts for men sportswear for all sports activities
LIGHTWEIGHT & DURABLE: Made from high-quality, lightweight materials, Boldfit Gym Shorts offer exceptional durability and long-lasting performance. These shorts for man are built to withstand rigorous workouts and activities, making them perfect for any athlete’s wardrobe. Despite their lightweight feel, they provide robust support and maintain their shape over time.
VERSATILE DESIGN: Boldfit basketball shorts for men are perfect for various sports and activities, including running, gym workouts, and more. The versatile design and stylish look make them a great addition to any fitness enthusiast's collection, ensuring functionality and fashion. These gym shorts for men workout cater to individual preferences and styles. This men shorts sports is not just about performance; they also ensure you look great while achieving your fitness goals.
STYLISH & FUNCTIONAL: Combining modern design with practical features, these dry fit shorts for men sports come with secure pockets for your essentials. Stay stylish and functional with Boldfit gym half pants for men, offering convenience and a sleek appearance for any activity. The pockets are strategically placed to provide easy access without hindering your performance.",available,Screenshot_2025-06-19_175428.png,Bottomwear,0.0,1.0,0,0,379.24,24,Unknown
22,TAGDO Men's Solid Cotton Shorts (2003),299.0,0,0,19291,Fashion,"100% cotton construction for breathability and comfort
Breathable and lightweight material ideal for warm weather
Classic design suitable for casual and sporty outfits
Quick-drying fabric for added convenience
Variety of colors and sizes to choose from",available,Screenshot_2025-06-19_175530.png,Bottomwear,0.0,1.0,0,0,224.25,25,Unknown
24,U.S. POLO ASSN. Men Casual Shorts,699.0,0,0,27334,Fashion,"Pack of 1:
Mid-rise waist sits comfortably at your waist
Soft stretch elasticized waistband
Dual side pockets to store your essentials
Crafted from versatile, soft and durable pure cotton fabric for all-purpose
Solid pattern with USPA logo on left leg",available,Screenshot_2025-06-19_175700.png,Bottomwear,0.0,1.0,0,0,531.24,24,Unknown
26,"DIGITAL SHOPEE Men's Cotton Shorts Boxers, Pack of 5 - Multicolor",599.0,0,0,25623,Fashion,"Material: Boxer shorts in 100% Pure Cotton
Pre-Washed, All-Over Printed Cotton
Solid elastic waistband
Length : 20 cm; Width : 200 cm
Size for this brand runs one size smaller. Please check the size chart before ordering.",available,Screenshot_2025-06-19_175800.png,Bottomwear,0.0,1.0,0,0,431.28,28,Unknown
27,"Acer Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",28999.0,1,5,28448,Electronics,"Spark imagination with the **RoboPal Interactive Robot**, a **25cm educational toy** for kids aged 5+. Powered by a **rechargeable battery** (6 hours playtime), it features **voice recognition**, **touch sensors**, and **360° movement** with LED lights. With **50+ programmable actions**, kids can code via a mobile app (iOS/Android), learning STEM skills. Made from **BPA-free ABS plastic**, it’s safe and durable (800g). Modes include dancing, storytelling, and Q&A, fostering creativity and problem-solving. Includes a **remote control** and **USB charger**. Not available but pre-orderable, RoboPal is ideal for birthdays or educational gifting, blending fun with learning.",available,Screenshot_2025-06-19_175933.png,Laptops,20.0,1.0,0,0,24359.16,16,Unknown
28,"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5006tu",45999.0,3,6,24051,Electronics,"Processor: Intel Core i3-1215U (up to 4.4 GHz with Intel Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads)| Memory: 8 GB DDR4-3200 MHz RAM (1 x 8 GB)| Storage: 512 GB PCIe NVMe M.2 SSD
Display: 39.6 cm (15.6"") diagonal, FHD (1920 x 1080), micro-edge, anti-glare, 250 nits, 45% NTSC
Operating System: Windows 11 Home Single Language |Microsoft Office Home & Student Edition 2021
Ports: 1 USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors); 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 1.4b; 1 headphone/microphone combo | Networking: Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 wireless card
Other Features: Camera: HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones| Keyboard : Full-size, natural silver keyboard with numeric keypad |Battery: 3-cell, 41 Wh Li-ion; Up to 7 hours and 30 minutes |Audio: Dual speakers
",available,Screenshot_2025-06-19_180150.png,Laptops,75.0,1.0,0,0,34959.24,24,Hp 
29,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",59999.0,0,5,22760,Electronics,"All-Day Battery Life – Go longer than ever with up to 18 hours of battery life.
Powerful Performance – Take on everything from professional-quality editing to action-packed gaming with ease. The Apple M1 chip with an 8-core CPU delivers up to 3.5x faster performance than the previous generation while using way less power.
Superfast Memory – 8GB of unified memory makes your entire system speedy and responsive. That way it can support tasks like memory-hogging multitab browsing and opening a huge graphic file quickly and easily.
Stunning Display – With a 13.3-inch/33.74 cm Retina display, images come alive with new levels of realism. Text is sharp and clear, and colors are more vibrant.
Why Mac – Easy to learn. Easy to set up. Astoundingly powerful. Intuitive. Packed with apps to use right out of the box. Mac is designed to let you work, play, and create like never before.",available,Screenshot_2025-06-19_180328.png,Laptops,0.0,1.0,0,0,52199.13,13,Apple
30," Click to see full view Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN",20999.0,8,80,22459,Electronics,"Processor: Intel Celeron N4500 processor, base speed 1.1 Ghz, max speed 2.8 Ghz, 2 Cores, 4MB L3 smart cache | Memory: 8GB DDR4 RAM 2933 MHz, dual-channel capable | Storage: 256GB SSD M.2 upgradable up to 512GB SSD
Operating System: Preloaded Windows 11 Home SL with Lifetime Validity
Display: 15.6"" (39.62 cm) screen with (1920x1080) FHD Antiglare, 250 Nits display | Graphics: Intel UHD Graphics comes with DirectX 12 enables amazing graphics | Monitor Supports: Supports up to 2 independent displays
Ports: 1x USB 2.0 | 1x USB 3.2 Gen 1 | 1x USB-C 3.2 Gen 1 (support data transfer) | 1x HDMI 1.4b | 1x Ethernet RJ-45 (LAN Port) | 1x Headphone / microphone combo jack (3.5mm) | 1x Power Connector
Keyboard: 6-row, spill-resistant, multimedia Fn keys, SMB Service Hot key, numeric keypad | Touchpad: Buttonless Mylar surface multi-touch touchpad, supports Precision TouchPad
",available,Screenshot_2025-06-19_180448.png,Laptops,10.53,1.0,0,0,18899.1,10,Lenovo
32,UNITED COLORS OF BENETTON Men's Cotton Relaxed Polo Neck Solid T-Shirt,1239.0,0,0,23777,Fashion,"100% Cotton
Button Closure
Polo Neck",available,Screenshot_2025-06-19_180810.png,T-shirt,0.0,1.0,0,0,966.42,22,Unknown
33,U.S. POLO ASSN. Men's Tipped Collar Pure Cotton Slim Fit Polo Shirt,999.0,0,7,27577,Fashion,"Look sharp in the **CoolFit Polo Shirt**, designed for casual and semi-formal occasions. Made from a **breathable cotton-polyester blend**, this shirt offers **moisture-wicking technology** for all-day comfort. The **classic fit** and **3-button placket** ensure a timeless look, available in sizes S–XXL. Weighing **180g**, it’s lightweight and machine-washable. The **ribbed collar** and **solid color design** pair easily with jeans or chinos. Not available but pre-orderable, this polo is perfect for office casual days, outings, or gifting, combining style and functionality.",available,Screenshot_2025-06-19_180908.png,T-shirt,0.0,1.0,0,0,859.14,14,Unknown
34,UNITED COLORS OF BENETTON Men's Cotton Regular Polo Neck Striped T-Shirt,1100.0,0,1,29127,Fashion,"Material compositionPolycotton
PatternStriped
Fit typeRegular Fit
Sleeve typeShort Sleeve
LengthStandard Length
Neck styleTurtle Neck
Country of OriginIndia",available,Screenshot_2025-06-19_181104.png,T-shirt,0.0,1.0,0,0,1045.0,5,Unknown
37,NOBERO Men's Cotton Oversized Fit T-Shirt,599.0,0,5,24236,Fashion,"✅100% Cotton Material: Nobero’s Men oversized t-shirts are made entirely from cotton, offering a soft, breathable feel against your skin for maximum comfort and ease of wear.
✅Premium Heavy Cotton: Experience superior comfort and durability with our high-quality heavy cotton fabric Tshirts for men, ensuring long-lasting wear and exceptional softness after wash.
✅Oversized Fit: Embrace relaxed style with our loose-fitting t-shirts for men, designed for ultimate comfort and freedom of movement, perfect for lounging or casual outings and every day wear.
✅Classic Round Neck Design: Elevate your wardrobe essentials with our timeless crew neck t-shirt for men, offering a versatile neckline that complements any casual or layered look with ease.
✅Drop Shoulder Construction: Enjoy enhanced comfort and a laid-back vibe with our drop shoulder t-shirts for men, adding a modern twist to your everyday style.
",available,Screenshot_2025-06-19_181314.png,T-shirt,0.0,1.0,0,0,485.19,19,Unknown
